name,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,cluster,html,id,sh_score
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                    ,Chico César                                     ,0.5547718756887811,0.11198197323405666,0.7228731310658388,1.0,0.03415251174557282,0.893574297188755,0.0,0.3299866816924496,0.30287963538429663,0.75,2,https://open.spotify.com/track/60FNhq77JIoQsUKwf0wf5m,60FNhq77JIoQsUKwf0wf5m ,0.22819214330155896
Aquarela Do Brasil                                                                                                                                                               ,Carlos Barbosa-Lima                             ,0.4004849019175667,0.25198481529175043,0.5495759377459124,0.0,0.04354897000361402,0.9668674698795181,0.914720812182741,0.09640405696137692,0.43339548373731096,0.75,3,https://open.spotify.com/track/3ftxaxht5yQW99vNcibmUC,3ftxaxht5yQW99vNcibmUC ,0.4844181976796499
Brigas Nunca Mais                                                                                                                                                                ,Brazilian Jazz                                  ,0.5173021820586291,0.27598530250164083,0.6458643000786919,1.0,0.04174195880014456,0.9759036144578314,0.898477157360406,0.12508964245466653,0.26973275326289625,0.75,2,https://open.spotify.com/track/5gvBgfXusUpxjOWHyYJXVg,5gvBgfXusUpxjOWHyYJXVg ,0.432069014786817
Águas De Março                                                                                                                                                                   ,Antônio Carlos Jobim                            ,0.6385276614502976,0.5519909054153801,0.7677056920521115,1.0,0.18865196964221176,0.8353413654618473,0.0,0.11382030529658847,0.4706857261238864,0.75,4,https://open.spotify.com/track/4P9HLmNcE6dUUvsPUvl3gs,4P9HLmNcE6dUUvsPUvl3gs ,0.1725705213727566
Aquarela Do Brasil                                                                                                                                                               ,Voyager                                         ,0.4291381970465066,0.1449826431476559,0.5393459823380257,1.0,0.0466208890495121,0.9407630522088355,0.932994923857868,0.0676160229484684,0.2945929148539465,0.5,2,https://open.spotify.com/track/3pjbCjL1IlqOfuQ8YOkX6o,3pjbCjL1IlqOfuQ8YOkX6o ,0.4338460502432636
Chega De Saudade                                                                                                                                                                 ,João Gilberto                                   ,0.4037910513555213,0.24498467318886577,0.6212949199965025,0.0,0.02005782435851102,0.7379518072289157,0.0,0.1824608134412458,0.6902838201781645,0.75,3,https://open.spotify.com/track/65GsUbgQju5Mh0Ab7CRUWB,65GsUbgQju5Mh0Ab7CRUWB ,-0.027118635321067928
Don't Stop the Carnival                                                                                                                                                          ,Sonny Rollins                                   ,0.46440379105135554,0.5249903573042534,0.7252338900061204,1.0,0.06577520780628839,0.570281124497992,0.0,0.6803606187890586,0.8259788688626475,0.75,4,https://open.spotify.com/track/014sDbzN0MSugmC703Ic4h,014sDbzN0MSugmC703Ic4h ,0.32525647114407474
Rebel Rebel                                                                                                                                                                      ,Seu Jorge                                       ,0.7884064359709059,0.20598388147279392,0.628377196817347,0.0,0.05493314058547162,0.8825301204819278,0.00031776649746192894,0.13226103882798895,0.5525170913610938,0.75,3,https://open.spotify.com/track/2rIzPAaLY6ocCanj5H7edQ,2rIzPAaLY6ocCanj5H7edQ ,0.04208362369483119
Rosa Morena - Live At Carnegie Hall/1964                                                                                                                                         ,Stan Getz                                       ,0.5173021820586291,0.13398241984312284,0.3843883885634344,1.0,0.11619082038308638,0.9096385542168676,0.12284263959390862,0.699825837516648,0.4706857261238864,0.75,2,https://open.spotify.com/track/37H0kOistSqxRH8rObQeIe,37H0kOistSqxRH8rObQeIe ,0.2115196826337864
Karoliina Kaunis                                                                                                                                                                 ,Maria Gasolina                                  ,0.7641613400925722,0.21498406417650281,0.628114890268427,0.0,0.4886158294181423,0.6204819277108434,0.004710659898477157,0.08226616125396989,0.37538844002486016,0.75,5,https://open.spotify.com/track/7BlLxHwobm2gHjXev9dNVe,7BlLxHwobm2gHjXev9dNVe ,0.11473576280963065
"Brigas, Nunca Mais                                                                                                                                                             ",João Gilberto                                   ,0.48093453824112853,0.24198461228762946,0.6527498469878463,1.0,0.01915431875677629,0.7048192771084337,0.0,0.16606905030222313,0.7389683032939713,0.75,4,https://open.spotify.com/track/4WfT503LMc9zLewdsok9un,4WfT503LMc9zLewdsok9un ,0.11742264936787905
Aquarela Do Brasil                                                                                                                                                               ,Gal Costa                                       ,0.5437513775622659,0.5499908648145558,0.6777345457724927,1.0,0.6783520057824358,0.8032128514056226,0.000734010152284264,0.9170166991086981,0.6830329397141082,0.75,4,https://open.spotify.com/track/1wo6p8AMWXREZVowQCa4BC,1wo6p8AMWXREZVowQCa4BC ,0.1472108459330072
Kaipuusamba                                                                                                                                                                      ,Maria Gasolina                                  ,0.531628829623099,0.2239842468802117,0.6181691002885371,1.0,0.06667871340802313,0.7771084337349399,0.09005076142131979,0.10562442372707716,0.5307644499689248,0.75,2,https://open.spotify.com/track/1htDFdG7K6pW07cuIanjGG,1htDFdG7K6pW07cuIanjGG ,0.10600633100330041
Batida Diferente                                                                                                                                                                 ,Cannonball Adderley                             ,0.6010579678201454,0.48498954528776933,0.7320101425198915,1.0,0.051680520419226605,0.8795180722891567,0.8538071065989847,0.11791824608134414,0.6985705407085145,0.75,2,https://open.spotify.com/track/09VxH0oobfXR1bRXZ78VXP,09VxH0oobfXR1bRXZ78VXP ,0.22539867221900436
Team Zissou                                                                                                                                                                      ,Seu Jorge                                       ,0.6164866651972669,0.4019878603535652,0.7179986010317391,1.0,0.02312974340440911,0.8734939759036146,0.07126903553299492,0.08861796947034117,0.8000828672053035,0.75,4,https://open.spotify.com/track/7bM4h5zu7FkChGbSeozZVN,7bM4h5zu7FkChGbSeozZVN ,0.1258149769108375
Parabens                                                                                                                                                                         ,Marcos Valle                                    ,0.7465285430901477,0.8019959805184047,0.7942860890093555,1.0,0.03577882182869534,0.014658634538152611,0.3512690355329949,0.08072943345968653,0.47275740625647394,0.75,4,https://open.spotify.com/track/596scNUBRpj2AygfaBVyTj,596scNUBRpj2AygfaBVyTj ,0.19404962758907426
O Amor Em Paz                                                                                                                                                                    ,Cannonball Adderley                             ,0.6859158033943135,0.2809854040037013,0.6966206172947451,0.0,0.020780628839898806,0.9769076305220884,0.8974619289340101,0.10664890892326608,0.4313238036047234,0.75,3,https://open.spotify.com/track/4PwzeZs0cTVuzZbCmw85hc,4PwzeZs0cTVuzZbCmw85hc ,0.4230795960939282
Once Again                                                                                                                                                                       ,Stan Getz                                       ,0.620894864447873,0.3309864190243062,0.6570779050450293,1.0,0.026382363570654127,0.8493975903614458,0.07928934010152285,0.06874295666427621,0.5835922933499067,0.75,2,https://open.spotify.com/track/22QBm5IGpx49Ggg7b0DMhL,22QBm5IGpx49Ggg7b0DMhL ,0.019613198712212874
