name,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,cluster,html,id,sh_score
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                    ,Chico César                                     ,0.5822130299896587,0.112,0.7933226826644061,1.0,0.045206971677559916,0.893574297188755,0.0,0.3373860182370821,0.31675126903553297,0.8,2,https://open.spotify.com/track/60FNhq77JIoQsUKwf0wf5m,60FNhq77JIoQsUKwf0wf5m ,0.4096141406603082
Aquarela Do Brasil                                                                                                                                                               ,Carlos Barbosa-Lima                             ,0.43743536711478803,0.252,0.6640800756414855,0.0,0.0508714596949891,0.9668674698795181,0.914720812182741,0.10638297872340426,0.4446700507614213,0.8,6,https://open.spotify.com/track/3ftxaxht5yQW99vNcibmUC,3ftxaxht5yQW99vNcibmUC ,0.4524172040170569
Brigas Nunca Mais                                                                                                                                                                ,Brazilian Jazz                                  ,0.547052740434333,0.276,0.7358905806788172,1.0,0.04978213507625272,0.9759036144578314,0.898477157360406,0.13475177304964542,0.28426395939086296,0.8,4,https://open.spotify.com/track/5gvBgfXusUpxjOWHyYJXVg,5gvBgfXusUpxjOWHyYJXVg ,0.549607430140797
Águas De Março                                                                                                                                                                   ,Antônio Carlos Jobim                            ,0.6608066184074457,0.552,0.8267581754752046,1.0,0.1383442265795207,0.8353413654618473,0.0,0.12360688956433638,0.48121827411167506,0.8,2,https://open.spotify.com/track/4P9HLmNcE6dUUvsPUvl3gs,4P9HLmNcE6dUUvsPUvl3gs ,0.40961737996998543
Aquarela Do Brasil                                                                                                                                                               ,Voyager                                         ,0.4643226473629783,0.145,0.6564507189201526,1.0,0.052723311546840956,0.9407630522088355,0.932994923857868,0.0779128672745694,0.30862944162436545,0.6000000000000001,4,https://open.spotify.com/track/3pjbCjL1IlqOfuQ8YOkX6o,3pjbCjL1IlqOfuQ8YOkX6o ,0.609187364707031
Chega De Saudade                                                                                                                                                                 ,João Gilberto                                   ,0.44053774560496384,0.245,0.7175670829121972,0.0,0.03671023965141612,0.7379518072289157,0.0,0.1914893617021277,0.6964467005076143,0.8,5,https://open.spotify.com/track/65GsUbgQju5Mh0Ab7CRUWB,65GsUbgQju5Mh0Ab7CRUWB ,0.039013058397728166
Don't Stop the Carnival                                                                                                                                                          ,Sonny Rollins                                   ,0.49741468459152016,0.525,0.7950833034462521,1.0,0.06427015250544661,0.570281124497992,0.0,0.6838905775075989,0.8294416243654821,0.8,2,https://open.spotify.com/track/014sDbzN0MSugmC703Ic4h,014sDbzN0MSugmC703Ic4h ,0.12860481747247574
Rebel Rebel                                                                                                                                                                      ,Seu Jorge                                       ,0.8014477766287488,0.206,0.7228489452577354,0.0,0.05773420479302832,0.8825301204819278,0.00031776649746192894,0.14184397163120568,0.5614213197969543,0.8,6,https://open.spotify.com/track/2rIzPAaLY6ocCanj5H7edQ,2rIzPAaLY6ocCanj5H7edQ ,0.04683222494657643
Rosa Morena - Live At Carnegie Hall/1964                                                                                                                                         ,Stan Getz                                       ,0.547052740434333,0.134,0.5408855270450914,1.0,0.09466230936819173,0.9096385542168676,0.12284263959390862,0.7031408308004052,0.48121827411167506,0.8,2,https://open.spotify.com/track/37H0kOistSqxRH8rObQeIe,37H0kOistSqxRH8rObQeIe ,0.25068824577018517
Karoliina Kaunis                                                                                                                                                                 ,Maria Gasolina                                  ,0.7786970010341262,0.215,0.7226533207264191,0.0,0.3191721132897603,0.6204819277108434,0.004710659898477157,0.09240121580547113,0.3878172588832487,0.8,5,https://open.spotify.com/track/7BlLxHwobm2gHjXev9dNVe,7BlLxHwobm2gHjXev9dNVe ,0.10736499765804187
